#########################
Running start Llama-3.1-70B-Instruct-MapCoder-HumanEval-Python3-0-1, Time: 2024-11-18 22:02:52.924854-05:00
##########################

completed 1/164, Solved: True, number of success = 1/1, acc = 100.0
completed 2/164, Solved: True, number of success = 2/2, acc = 100.0
completed 3/164, Solved: True, number of success = 3/3, acc = 100.0
completed 4/164, Solved: True, number of success = 4/4, acc = 100.0
completed 5/164, Solved: True, number of success = 5/5, acc = 100.0
completed 6/164, Solved: True, number of success = 6/6, acc = 100.0
completed 7/164, Solved: True, number of success = 7/7, acc = 100.0
completed 8/164, Solved: True, number of success = 8/8, acc = 100.0
completed 9/164, Solved: True, number of success = 9/9, acc = 100.0
completed 10/164, Solved: True, number of success = 10/10, acc = 100.0
completed 11/164, Solved: True, number of success = 11/11, acc = 100.0
completed 12/164, Solved: True, number of success = 12/12, acc = 100.0
completed 13/164, Solved: True, number of success = 13/13, acc = 100.0
completed 14/164, Solved: True, number of success = 14/14, acc = 100.0
completed 15/164, Solved: True, number of success = 15/15, acc = 100.0
completed 16/164, Solved: True, number of success = 16/16, acc = 100.0
completed 17/164, Solved: True, number of success = 17/17, acc = 100.0
completed 18/164, Solved: True, number of success = 18/18, acc = 100.0
completed 19/164, Solved: True, number of success = 19/19, acc = 100.0
completed 20/164, Solved: True, number of success = 20/20, acc = 100.0
completed 21/164, Solved: True, number of success = 21/21, acc = 100.0
completed 22/164, Solved: True, number of success = 22/22, acc = 100.0
completed 23/164, Solved: True, number of success = 23/23, acc = 100.0
completed 24/164, Solved: True, number of success = 24/24, acc = 100.0
completed 25/164, Solved: True, number of success = 25/25, acc = 100.0
completed 26/164, Solved: True, number of success = 26/26, acc = 100.0
completed 27/164, Solved: True, number of success = 27/27, acc = 100.0
completed 28/164, Solved: True, number of success = 28/28, acc = 100.0
completed 29/164, Solved: True, number of success = 29/29, acc = 100.0
completed 30/164, Solved: True, number of success = 30/30, acc = 100.0
completed 31/164, Solved: True, number of success = 31/31, acc = 100.0
completed 32/164, Solved: True, number of success = 32/32, acc = 100.0
completed 33/164, Solved: False, number of success = 32/33, acc = 96.97
completed 34/164, Solved: True, number of success = 33/34, acc = 97.06
completed 35/164, Solved: True, number of success = 34/35, acc = 97.14
completed 36/164, Solved: True, number of success = 35/36, acc = 97.22
completed 37/164, Solved: True, number of success = 36/37, acc = 97.3
completed 38/164, Solved: True, number of success = 37/38, acc = 97.37
completed 39/164, Solved: True, number of success = 38/39, acc = 97.44
completed 40/164, Solved: True, number of success = 39/40, acc = 97.5
completed 41/164, Solved: True, number of success = 40/41, acc = 97.56
completed 42/164, Solved: True, number of success = 41/42, acc = 97.62
completed 43/164, Solved: True, number of success = 42/43, acc = 97.67
completed 44/164, Solved: True, number of success = 43/44, acc = 97.73
completed 45/164, Solved: True, number of success = 44/45, acc = 97.78
completed 46/164, Solved: True, number of success = 45/46, acc = 97.83
completed 47/164, Solved: False, number of success = 45/47, acc = 95.74
completed 48/164, Solved: False, number of success = 45/48, acc = 93.75
completed 49/164, Solved: True, number of success = 46/49, acc = 93.88
completed 50/164, Solved: True, number of success = 47/50, acc = 94.0
completed 51/164, Solved: True, number of success = 48/51, acc = 94.12
completed 52/164, Solved: True, number of success = 49/52, acc = 94.23
completed 53/164, Solved: True, number of success = 50/53, acc = 94.34
completed 54/164, Solved: True, number of success = 51/54, acc = 94.44
completed 55/164, Solved: True, number of success = 52/55, acc = 94.55
completed 56/164, Solved: True, number of success = 53/56, acc = 94.64
completed 57/164, Solved: True, number of success = 54/57, acc = 94.74
completed 58/164, Solved: True, number of success = 55/58, acc = 94.83
completed 59/164, Solved: True, number of success = 56/59, acc = 94.92
completed 60/164, Solved: True, number of success = 57/60, acc = 95.0
completed 61/164, Solved: True, number of success = 58/61, acc = 95.08
completed 62/164, Solved: True, number of success = 59/62, acc = 95.16
completed 63/164, Solved: True, number of success = 60/63, acc = 95.24
completed 64/164, Solved: True, number of success = 61/64, acc = 95.31
completed 65/164, Solved: True, number of success = 62/65, acc = 95.38
completed 66/164, Solved: False, number of success = 62/66, acc = 93.94
completed 67/164, Solved: True, number of success = 63/67, acc = 94.03
completed 68/164, Solved: True, number of success = 64/68, acc = 94.12
completed 69/164, Solved: True, number of success = 65/69, acc = 94.2
completed 70/164, Solved: True, number of success = 66/70, acc = 94.29
completed 71/164, Solved: True, number of success = 67/71, acc = 94.37
completed 72/164, Solved: True, number of success = 68/72, acc = 94.44
completed 73/164, Solved: True, number of success = 69/73, acc = 94.52
completed 74/164, Solved: False, number of success = 69/74, acc = 93.24
completed 75/164, Solved: True, number of success = 70/75, acc = 93.33
completed 76/164, Solved: True, number of success = 71/76, acc = 93.42
completed 77/164, Solved: True, number of success = 72/77, acc = 93.51
completed 78/164, Solved: True, number of success = 73/78, acc = 93.59
completed 79/164, Solved: True, number of success = 74/79, acc = 93.67
completed 80/164, Solved: False, number of success = 74/80, acc = 92.5
completed 81/164, Solved: True, number of success = 75/81, acc = 92.59
completed 82/164, Solved: True, number of success = 76/82, acc = 92.68
completed 83/164, Solved: True, number of success = 77/83, acc = 92.77
10:02

#########################
Running start Llama-3.1-70B-Instruct-MapCoder-HumanEval-Python3-0-1, Time: 2024-11-19 22:03:46.118456-05:00
##########################

completed 1/81, Solved: False, number of success = 0/1, acc = 0.0
completed 2/81, Solved: False, number of success = 0/2, acc = 0.0
completed 3/81, Solved: True, number of success = 1/3, acc = 33.33
completed 4/81, Solved: False, number of success = 1/4, acc = 25.0
completed 5/81, Solved: False, number of success = 1/5, acc = 20.0
completed 6/81, Solved: True, number of success = 2/6, acc = 33.33
completed 7/81, Solved: True, number of success = 3/7, acc = 42.86
completed 8/81, Solved: False, number of success = 3/8, acc = 37.5
completed 9/81, Solved: False, number of success = 3/9, acc = 33.33
completed 10/81, Solved: False, number of success = 3/10, acc = 30.0
completed 11/81, Solved: False, number of success = 3/11, acc = 27.27
completed 12/81, Solved: False, number of success = 3/12, acc = 25.0
completed 13/81, Solved: False, number of success = 3/13, acc = 23.08
completed 14/81, Solved: True, number of success = 4/14, acc = 28.57
completed 15/81, Solved: True, number of success = 5/15, acc = 33.33
completed 16/81, Solved: True, number of success = 6/16, acc = 37.5
completed 17/81, Solved: True, number of success = 7/17, acc = 41.18
completed 18/81, Solved: False, number of success = 7/18, acc = 38.89
completed 19/81, Solved: True, number of success = 8/19, acc = 42.11
completed 20/81, Solved: True, number of success = 9/20, acc = 45.0
completed 21/81, Solved: True, number of success = 10/21, acc = 47.62
completed 22/81, Solved: True, number of success = 11/22, acc = 50.0
completed 23/81, Solved: True, number of success = 12/23, acc = 52.17
completed 24/81, Solved: True, number of success = 13/24, acc = 54.17
completed 25/81, Solved: False, number of success = 13/25, acc = 52.0
completed 26/81, Solved: False, number of success = 13/26, acc = 50.0
completed 27/81, Solved: True, number of success = 14/27, acc = 51.85
completed 28/81, Solved: True, number of success = 15/28, acc = 53.57
completed 29/81, Solved: True, number of success = 16/29, acc = 55.17
completed 30/81, Solved: True, number of success = 17/30, acc = 56.67
completed 31/81, Solved: True, number of success = 18/31, acc = 58.06
completed 32/81, Solved: True, number of success = 19/32, acc = 59.38
completed 33/81, Solved: False, number of success = 19/33, acc = 57.58
completed 34/81, Solved: False, number of success = 19/34, acc = 55.88
completed 35/81, Solved: True, number of success = 20/35, acc = 57.14
completed 36/81, Solved: False, number of success = 20/36, acc = 55.56
completed 37/81, Solved: False, number of success = 20/37, acc = 54.05
completed 38/81, Solved: True, number of success = 21/38, acc = 55.26
completed 39/81, Solved: True, number of success = 22/39, acc = 56.41
completed 40/81, Solved: True, number of success = 23/40, acc = 57.5
completed 41/81, Solved: True, number of success = 24/41, acc = 58.54
completed 42/81, Solved: True, number of success = 25/42, acc = 59.52
completed 43/81, Solved: False, number of success = 25/43, acc = 58.14
completed 44/81, Solved: True, number of success = 26/44, acc = 59.09
completed 45/81, Solved: False, number of success = 26/45, acc = 57.78
completed 46/81, Solved: True, number of success = 27/46, acc = 58.7
completed 47/81, Solved: True, number of success = 28/47, acc = 59.57
completed 48/81, Solved: False, number of success = 28/48, acc = 58.33
completed 49/81, Solved: True, number of success = 29/49, acc = 59.18
completed 50/81, Solved: False, number of success = 29/50, acc = 58.0
completed 51/81, Solved: True, number of success = 30/51, acc = 58.82
