#########################
Running start Llama-3.1-8B-Instruct-MapCoder-HumanEval-Python3-0-1, Time: 2024-11-18 12:47:19.078306-05:00
##########################

completed 1/164, Solved: True, number of success = 1/1, acc = 100.0
completed 2/164, Solved: True, number of success = 2/2, acc = 100.0
completed 3/164, Solved: True, number of success = 3/3, acc = 100.0
completed 4/164, Solved: True, number of success = 4/4, acc = 100.0
completed 5/164, Solved: True, number of success = 5/5, acc = 100.0
completed 6/164, Solved: True, number of success = 6/6, acc = 100.0
completed 7/164, Solved: True, number of success = 7/7, acc = 100.0
completed 8/164, Solved: True, number of success = 8/8, acc = 100.0
completed 9/164, Solved: True, number of success = 9/9, acc = 100.0
completed 10/164, Solved: True, number of success = 10/10, acc = 100.0
completed 11/164, Solved: False, number of success = 10/11, acc = 90.91
completed 12/164, Solved: True, number of success = 11/12, acc = 91.67
completed 13/164, Solved: True, number of success = 12/13, acc = 92.31
completed 14/164, Solved: True, number of success = 13/14, acc = 92.86
completed 15/164, Solved: False, number of success = 13/15, acc = 86.67
completed 16/164, Solved: True, number of success = 14/16, acc = 87.5
completed 17/164, Solved: False, number of success = 14/17, acc = 82.35
completed 18/164, Solved: True, number of success = 15/18, acc = 83.33
completed 19/164, Solved: False, number of success = 15/19, acc = 78.95
completed 20/164, Solved: True, number of success = 16/20, acc = 80.0
completed 21/164, Solved: True, number of success = 17/21, acc = 80.95
completed 22/164, Solved: False, number of success = 17/22, acc = 77.27
completed 23/164, Solved: True, number of success = 18/23, acc = 78.26
completed 24/164, Solved: False, number of success = 18/24, acc = 75.0
completed 25/164, Solved: True, number of success = 19/25, acc = 76.0
completed 26/164, Solved: True, number of success = 20/26, acc = 76.92
completed 27/164, Solved: True, number of success = 21/27, acc = 77.78
completed 28/164, Solved: True, number of success = 22/28, acc = 78.57
completed 29/164, Solved: True, number of success = 23/29, acc = 79.31
completed 30/164, Solved: True, number of success = 24/30, acc = 80.0
completed 31/164, Solved: False, number of success = 24/31, acc = 77.42
completed 32/164, Solved: False, number of success = 24/32, acc = 75.0
completed 33/164, Solved: False, number of success = 24/33, acc = 72.73
completed 34/164, Solved: True, number of success = 25/34, acc = 73.53
completed 35/164, Solved: True, number of success = 26/35, acc = 74.29
completed 36/164, Solved: True, number of success = 27/36, acc = 75.0
completed 37/164, Solved: True, number of success = 28/37, acc = 75.68
completed 38/164, Solved: True, number of success = 29/38, acc = 76.32
completed 39/164, Solved: True, number of success = 30/39, acc = 76.92
completed 40/164, Solved: True, number of success = 31/40, acc = 77.5
completed 41/164, Solved: True, number of success = 32/41, acc = 78.05
completed 42/164, Solved: False, number of success = 32/42, acc = 76.19
completed 43/164, Solved: True, number of success = 33/43, acc = 76.74
completed 44/164, Solved: True, number of success = 34/44, acc = 77.27
completed 45/164, Solved: True, number of success = 35/45, acc = 77.78
completed 46/164, Solved: True, number of success = 36/46, acc = 78.26
completed 47/164, Solved: True, number of success = 37/47, acc = 78.72
completed 48/164, Solved: True, number of success = 38/48, acc = 79.17
completed 49/164, Solved: True, number of success = 39/49, acc = 79.59
completed 50/164, Solved: True, number of success = 40/50, acc = 80.0
completed 51/164, Solved: True, number of success = 41/51, acc = 80.39
completed 52/164, Solved: True, number of success = 42/52, acc = 80.77
completed 53/164, Solved: True, number of success = 43/53, acc = 81.13
completed 54/164, Solved: True, number of success = 44/54, acc = 81.48
completed 55/164, Solved: False, number of success = 44/55, acc = 80.0
completed 56/164, Solved: True, number of success = 45/56, acc = 80.36
completed 57/164, Solved: True, number of success = 46/57, acc = 80.7
completed 58/164, Solved: False, number of success = 46/58, acc = 79.31
completed 59/164, Solved: False, number of success = 46/59, acc = 77.97
completed 60/164, Solved: False, number of success = 46/60, acc = 76.67
completed 61/164, Solved: True, number of success = 47/61, acc = 77.05
completed 62/164, Solved: True, number of success = 48/62, acc = 77.42
completed 63/164, Solved: True, number of success = 49/63, acc = 77.78
completed 64/164, Solved: False, number of success = 49/64, acc = 76.56
completed 65/164, Solved: False, number of success = 49/65, acc = 75.38
completed 66/164, Solved: False, number of success = 49/66, acc = 74.24
completed 67/164, Solved: True, number of success = 50/67, acc = 74.63
completed 68/164, Solved: False, number of success = 50/68, acc = 73.53
completed 69/164, Solved: True, number of success = 51/69, acc = 73.91
completed 70/164, Solved: True, number of success = 52/70, acc = 74.29
completed 71/164, Solved: True, number of success = 53/71, acc = 74.65
completed 72/164, Solved: True, number of success = 54/72, acc = 75.0
completed 73/164, Solved: True, number of success = 55/73, acc = 75.34
completed 74/164, Solved: True, number of success = 56/74, acc = 75.68
completed 75/164, Solved: True, number of success = 57/75, acc = 76.0
completed 76/164, Solved: True, number of success = 58/76, acc = 76.32
completed 77/164, Solved: True, number of success = 59/77, acc = 76.62
completed 78/164, Solved: True, number of success = 60/78, acc = 76.92
completed 79/164, Solved: True, number of success = 61/79, acc = 77.22
completed 80/164, Solved: True, number of success = 62/80, acc = 77.5
completed 81/164, Solved: False, number of success = 62/81, acc = 76.54
completed 82/164, Solved: False, number of success = 62/82, acc = 75.61
completed 83/164, Solved: True, number of success = 63/83, acc = 75.9
completed 84/164, Solved: False, number of success = 63/84, acc = 75.0
completed 85/164, Solved: False, number of success = 63/85, acc = 74.12
completed 86/164, Solved: True, number of success = 64/86, acc = 74.42
completed 87/164, Solved: True, number of success = 65/87, acc = 74.71
completed 88/164, Solved: False, number of success = 65/88, acc = 73.86
completed 89/164, Solved: True, number of success = 66/89, acc = 74.16
completed 90/164, Solved: True, number of success = 67/90, acc = 74.44
completed 91/164, Solved: False, number of success = 67/91, acc = 73.63
completed 92/164, Solved: False, number of success = 67/92, acc = 72.83
completed 93/164, Solved: True, number of success = 68/93, acc = 73.12
completed 94/164, Solved: False, number of success = 68/94, acc = 72.34
completed 95/164, Solved: True, number of success = 69/95, acc = 72.63
completed 96/164, Solved: False, number of success = 69/96, acc = 71.88
completed 97/164, Solved: True, number of success = 70/97, acc = 72.16
completed 98/164, Solved: True, number of success = 71/98, acc = 72.45
completed 99/164, Solved: True, number of success = 72/99, acc = 72.73
completed 100/164, Solved: True, number of success = 73/100, acc = 73.0
completed 101/164, Solved: True, number of success = 74/101, acc = 73.27
completed 102/164, Solved: True, number of success = 75/102, acc = 73.53
completed 103/164, Solved: True, number of success = 76/103, acc = 73.79
completed 104/164, Solved: True, number of success = 77/104, acc = 74.04
completed 105/164, Solved: True, number of success = 78/105, acc = 74.29
completed 106/164, Solved: True, number of success = 79/106, acc = 74.53
completed 107/164, Solved: True, number of success = 80/107, acc = 74.77
completed 108/164, Solved: True, number of success = 81/108, acc = 75.0
completed 109/164, Solved: False, number of success = 81/109, acc = 74.31
completed 110/164, Solved: True, number of success = 82/110, acc = 74.55
completed 111/164, Solved: False, number of success = 82/111, acc = 73.87
completed 112/164, Solved: True, number of success = 83/112, acc = 74.11
completed 113/164, Solved: True, number of success = 84/113, acc = 74.34
completed 114/164, Solved: True, number of success = 85/114, acc = 74.56
completed 115/164, Solved: True, number of success = 86/115, acc = 74.78
completed 116/164, Solved: False, number of success = 86/116, acc = 74.14
completed 117/164, Solved: False, number of success = 86/117, acc = 73.5
completed 118/164, Solved: True, number of success = 87/118, acc = 73.73
completed 119/164, Solved: False, number of success = 87/119, acc = 73.11
completed 120/164, Solved: False, number of success = 87/120, acc = 72.5
completed 121/164, Solved: False, number of success = 87/121, acc = 71.9
completed 122/164, Solved: True, number of success = 88/122, acc = 72.13
completed 123/164, Solved: False, number of success = 88/123, acc = 71.54
completed 124/164, Solved: True, number of success = 89/124, acc = 71.77
completed 125/164, Solved: True, number of success = 90/125, acc = 72.0
completed 126/164, Solved: False, number of success = 90/126, acc = 71.43
completed 127/164, Solved: True, number of success = 91/127, acc = 71.65
completed 128/164, Solved: False, number of success = 91/128, acc = 71.09
completed 129/164, Solved: True, number of success = 92/129, acc = 71.32
completed 130/164, Solved: False, number of success = 92/130, acc = 70.77
completed 131/164, Solved: False, number of success = 92/131, acc = 70.23
completed 132/164, Solved: True, number of success = 93/132, acc = 70.45
completed 133/164, Solved: False, number of success = 93/133, acc = 69.92
completed 134/164, Solved: True, number of success = 94/134, acc = 70.15
completed 135/164, Solved: True, number of success = 95/135, acc = 70.37
completed 136/164, Solved: False, number of success = 95/136, acc = 69.85
completed 137/164, Solved: True, number of success = 96/137, acc = 70.07
